for,while,if,then,else,switch,case,do,Buggy
4,0,9,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,3,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0
0,2,6,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0
1,0,3,0,0,0,0,0,0
0,0,7,0,1,0,0,0,0
0,0,7,0,1,0,0,0,0
2,0,2,0,0,0,0,1,1
0,0,2,0,0,0,0,0,1
0,0,7,0,1,0,0,0,0
3,0,3,0,2,0,0,0,0
0,0,8,0,1,0,0,0,0
1,0,9,0,2,0,0,1,0
0,0,3,0,3,0,0,0,0
0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1
0,0,4,0,2,0,0,0,1
0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,1
0,0,1,1,1,0,0,0,0
0,0,1,1,1,0,0,0,0
0,0,3,2,3,0,0,0,0
0,0,3,2,3,0,0,0,0
1,0,9,0,0,1,5,0,0
1,1,5,0,0,0,0,0,0
12,1,60,1,4,4,19,0,0
5,0,7,0,1,1,1,0,1
2,0,0,0,0,0,0,1,0
5,0,7,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,5,1,0,0,0,0,1
2,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0
3,0,2,0,0,0,0,0,1
0,0,1,0,0,0,0,0,0
0,0,5,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0
0,0,1,0,2,0,0,0,0
1,0,1,0,0,0,0,0,0
1,0,3,0,0,0,0,0,0
1,0,3,0,0,0,0,0,0
0,0,2,0,0,4,25,0,0
0,0,1,0,1,0,0,0,0
0,1,2,0,0,0,0,0,0
5,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,9,0,3,0,0,0,1
0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
5,0,22,0,8,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
